17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18
15,28,28,28,24,28,28,28,23,28,28,28,24,28,28,28,24,28,28,16
15,28,28,28,24,28,28,28,28,28,28,28,24,28,28,28,24,28,28,16
15,28,28,28,24,28,28,28,28,28,28,28,23,28,28,28,24,28,28,16
15,28,28,28,23,28,28,28,28,28,28,28,28,28,28,28,24,28,28,22
15,28,28,28,28,28,28,28,25,28,28,28,28,28,28,28,23,28,28,28
15,28,28,28,28,28,28,28,24,28,28,28,28,28,28,28,28,28,28,21
15,28,28,28,28,28,28,28,24,28,28,28,25,28,28,28,28,28,28,16
15,28,28,28,25,28,28,28,24,28,28,28,24,28,28,28,28,28,28,16
11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12
